Dataset,Site name,LTER ID,Country,Latitude,Longitude,Taxonomic group,Study length (years),Link to the data,Notes,Included_Excluded,Unique_ID,Data_owner,Data_title,Data_description,Owner_email,Reason_for_exclusion
124,Drayton - United Kingdom,https://deims.org/00eb83ef-c965-462d-8022-7f7ff75ccd14,UK,52.194,-1.764,Terrestrial invert.,17,https://doi.org/10.5285/8385f864-dd41-410f-b248-028f923cb281,,Excluded,,,,,,duplicates of either 120 or 123
125,Bradgate Brook - United Kingdom,https://deims.org/b9263e0a-7072-4959-b255-e05d54455834,UK,52.683,-1.228,Aquatic invert.,17,http://doi.org/10.23728/b2share.c870ecd4f7f040709c815c722f50dd6a,,Excluded,,,,,,duplicates of either 120 or 123
126,Drayton - United Kingdom,https://deims.org/00eb83ef-c965-462d-8022-7f7ff75ccd14,UK,52.194,-1.764,Terrestrial invert.,20,https://doi.org/10.5285/a2a49f47-49b3-46da-a434-bb22e524c5d2,,Excluded,,,,,,duplicates of either 120 or 123
127,River Bure - United Kingdom,https://deims.org/3b7e3af6-779c-4441-b9b6-94c06e7e197a,UK,52.728,1.356,Aquatic invert.,17,http://doi.org/10.23728/b2share.c870ecd4f7f040709c815c722f50dd6a,,Excluded,,,,,,duplicates of either 120 or 123
128,Trout Beck - United Kingdom,https://deims.org/d767988a-34ab-4051-ac72-fe7204ffbe6f,UK,54.694,-2.38,Aquatic invert.,16,http://doi.org/10.23728/b2share.c870ecd4f7f040709c815c722f50dd6a,,Excluded,,,,,,duplicates of either 120 or 123
129,River Lambourn - United Kingdom,https://deims.org/1f9511d8-d7da-4fe4-be32-4ceae9e9660e,UK,51.421,-1.351,Aquatic invert.,15,http://doi.org/10.23728/b2share.c870ecd4f7f040709c815c722f50dd6a,,Excluded,,,,,,duplicates of either 120 or 123
130,River Eden (Kent) - United Kingdom,https://deims.org/ddfc3f5e-8f0c-45eb-81f1-e75f5a9a693f,UK,51.173,0.174,Aquatic invert.,15,http://doi.org/10.23728/b2share.c870ecd4f7f040709c815c722f50dd6a,,Excluded,,,,,,duplicates of either 120 or 123
131,Glensaugh - United Kingdom,https://deims.org/1c4d454d-0c00-49f9-a7fe-3a3e596c3648,UK,56.909,-2.553,Terrestrial invert.,19,https://doi.org/10.5285/8385f864-dd41-410f-b248-028f923cb281,,Excluded,,,,,,duplicates of either 120 or 123
132,Glensaugh - United Kingdom,https://deims.org/1c4d454d-0c00-49f9-a7fe-3a3e596c3648,UK,56.909,-2.553,Terrestrial invert.,21,https://doi.org/10.5285/5aeda581-b4f2-4e51-b1a6-890b6b3403a3,,Excluded,,,,,,duplicates of either 120 or 123
133,Glensaugh - United Kingdom,https://deims.org/1c4d454d-0c00-49f9-a7fe-3a3e596c3648,UK,56.909,-2.553,Terrestrial invert.,19,https://doi.org/10.5285/a2a49f47-49b3-46da-a434-bb22e524c5d2,,Excluded,,,,,,duplicates of either 120 or 123
134,Hillsborough - United Kingdom,https://deims.org/371c5259-6f38-4aa7-9517-c56f608c62cc,UK,54.453,-6.078,Terrestrial invert.,23,https://doi.org/10.5285/8385f864-dd41-410f-b248-028f923cb281,,Excluded,,,,,,duplicates of either 120 or 123
135,Hillsborough - United Kingdom,https://deims.org/371c5259-6f38-4aa7-9517-c56f608c62cc,UK,54.453,-6.078,Terrestrial invert.,23,https://doi.org/10.5285/5aeda581-b4f2-4e51-b1a6-890b6b3403a3,,Excluded,,,,,,duplicates of either 120 or 123
136,Hillsborough - United Kingdom,https://deims.org/371c5259-6f38-4aa7-9517-c56f608c62cc,UK,54.453,-6.078,Terrestrial invert.,23,https://doi.org/10.5285/a2a49f47-49b3-46da-a434-bb22e524c5d2,,Excluded,,,,,,duplicates of either 120 or 123
137,Moor House - Upper Teesdale - United Kingdom,https://deims.org/bf78c96f-0763-4b31-b1a6-6eccef19edd1,UK,54.695,-2.388,Terrestrial invert.,23,https://doi.org/10.5285/8385f864-dd41-410f-b248-028f923cb281,,Excluded,,,,,,duplicates of either 120 or 123
138,Moor House - Upper Teesdale - United Kingdom,https://deims.org/bf78c96f-0763-4b31-b1a6-6eccef19edd1,UK,54.695,-2.388,Terrestrial invert.,23,https://doi.org/10.5285/5aeda581-b4f2-4e51-b1a6-890b6b3403a3,,Excluded,,,,,,duplicates of either 120 or 123
139,Moor House - Upper Teesdale - United Kingdom,https://deims.org/bf78c96f-0763-4b31-b1a6-6eccef19edd1,UK,54.695,-2.388,Terrestrial invert.,23,https://doi.org/10.5285/a2a49f47-49b3-46da-a434-bb22e524c5d2,,Excluded,,,,,,duplicates of either 120 or 123
140,North Wyke - United Kingdom,https://deims.org/4fbe4bf9-e342-4412-8f0c-c75aff08a8ca,UK,50.782,-3.918,Terrestrial invert.,23,https://doi.org/10.5285/5aeda581-b4f2-4e51-b1a6-890b6b3403a3,,Excluded,,,,,,duplicates of either 120 or 123
141,North Wyke - United Kingdom,https://deims.org/4fbe4bf9-e342-4412-8f0c-c75aff08a8ca,UK,50.782,-3.918,Terrestrial invert.,23,https://doi.org/10.5285/a2a49f47-49b3-46da-a434-bb22e524c5d2,,Excluded,,,,,,duplicates of either 120 or 123
142,North Wyke - United Kingdom,https://deims.org/4fbe4bf9-e342-4412-8f0c-c75aff08a8ca,UK,50.782,-3.918,Terrestrial invert.,17,https://doi.org/10.5285/8385f864-dd41-410f-b248-028f923cb281,,Excluded,,,,,,duplicates of either 120 or 123
143,Rothamsted - United Kingdom,https://deims.org/cb340d4c-e6e5-465a-b0cb-d6c613fa5541,UK,51.803,-0.373,Terrestrial invert.,18,https://doi.org/10.5285/5aeda581-b4f2-4e51-b1a6-890b6b3403a3,,Excluded,,,,,,duplicates of either 120 or 123
144,Rothamsted - United Kingdom,https://deims.org/cb340d4c-e6e5-465a-b0cb-d6c613fa5541,UK,51.803,-0.373,Terrestrial invert.,20,https://doi.org/10.5285/8385f864-dd41-410f-b248-028f923cb281,,Excluded,,,,,,duplicates of either 120 or 123
145,Rothamsted - United Kingdom,https://deims.org/cb340d4c-e6e5-465a-b0cb-d6c613fa5541,UK,51.803,-0.373,Terrestrial invert.,24,https://doi.org/10.5285/a2a49f47-49b3-46da-a434-bb22e524c5d2,We used only data from Trap 2 because it was the trap with more temporally regular surveys.,Excluded,,,,,,duplicates of either 120 or 123
146,Sourhope - United Kingdom,https://deims.org/125d4667-0fae-418d-88ff-7d9930809d12,UK,55.49,-2.212,Terrestrial invert.,23,https://doi.org/10.5285/a2a49f47-49b3-46da-a434-bb22e524c5d2,,Excluded,,,,,,duplicates of either 120 or 123
147,Sourhope - United Kingdom,https://deims.org/125d4667-0fae-418d-88ff-7d9930809d12,UK,55.49,-2.212,Terrestrial invert.,18,https://doi.org/10.5285/5aeda581-b4f2-4e51-b1a6-890b6b3403a3,,Excluded,,,,,,duplicates of either 120 or 123
148,Sourhope - United Kingdom,https://deims.org/125d4667-0fae-418d-88ff-7d9930809d12,UK,55.49,-2.212,Terrestrial invert.,19,https://doi.org/10.5285/8385f864-dd41-410f-b248-028f923cb281,,Excluded,,,,,,duplicates of either 120 or 123
149,Wytham - United Kingdom,https://deims.org/16dcd0c3-a114-412c-9f01-8c1af292ba69,UK,51.781,-1.336,Terrestrial invert.,23,https://doi.org/10.5285/a2a49f47-49b3-46da-a434-bb22e524c5d2,,Excluded,,,,,,duplicates of either 120 or 123
150,Wytham - United Kingdom,https://deims.org/16dcd0c3-a114-412c-9f01-8c1af292ba69,UK,51.781,-1.336,Terrestrial invert.,22,https://doi.org/10.5285/8385f864-dd41-410f-b248-028f923cb281,,Excluded,,,,,,duplicates of either 120 or 123
151,Wytham - United Kingdom,https://deims.org/16dcd0c3-a114-412c-9f01-8c1af292ba69,UK,51.781,-1.336,Terrestrial invert.,23,https://doi.org/10.5285/5aeda581-b4f2-4e51-b1a6-890b6b3403a3,,Excluded,,,,,,duplicates of either 120 or 123
152,Alice Holt - United Kingdom,https://deims.org/d47ec839-5d20-4315-9f88-1e9edbab22e8,UK,51.155,-0.863,Terrestrial invert.,22,https://doi.org/10.5285/5aeda581-b4f2-4e51-b1a6-890b6b3403a3,,Excluded,,,,,,duplicates of either 120 or 123
153,Alice Holt - United Kingdom,https://deims.org/d47ec839-5d20-4315-9f88-1e9edbab22e8,UK,51.155,-0.863,Terrestrial invert.,21,https://doi.org/10.5285/8385f864-dd41-410f-b248-028f923cb281,,Excluded,,,,,,duplicates of either 120 or 123
154,Alice Holt - United Kingdom,https://deims.org/d47ec839-5d20-4315-9f88-1e9edbab22e8,UK,51.155,-0.863,Terrestrial invert.,23,https://doi.org/10.5285/a2a49f47-49b3-46da-a434-bb22e524c5d2,,Excluded,,,,,,duplicates of either 120 or 123
155,Porton Down - United Kingdom,https://deims.org/0f05a86f-0f7a-4b81-8268-6818a6064428,UK,51.127,-1.64,Terrestrial invert.,22,https://doi.org/10.5285/5aeda581-b4f2-4e51-b1a6-890b6b3403a3,,Excluded,,,,,,duplicates of either 120 or 123
156,Porton Down - United Kingdom,https://deims.org/0f05a86f-0f7a-4b81-8268-6818a6064428,UK,51.127,-1.64,Terrestrial invert.,20,https://doi.org/10.5285/8385f864-dd41-410f-b248-028f923cb281,,Excluded,,,,,,duplicates of either 120 or 123
157,Yr Wyddfa/Snowdon - United Kingdom,https://deims.org/8b5da977-eed8-459f-b663-f3835aa0b356,UK,53.075,-4.034,Terrestrial invert.,17,https://doi.org/10.5285/5aeda581-b4f2-4e51-b1a6-890b6b3403a3,,Excluded,,,,,,duplicates of either 120 or 123
158,Yr Wyddfa/Snowdon - United Kingdom,https://deims.org/8b5da977-eed8-459f-b663-f3835aa0b356,UK,53.075,-4.034,Terrestrial invert.,15,https://doi.org/10.5285/8385f864-dd41-410f-b248-028f923cb281,,Excluded,,,,,,duplicates of either 120 or 123
159,Cairngorms (ECN site) - United Kingdom,https://deims.org/5a04fee1-42aa-47e9-abfc-043a3eda12ac,UK,57.116,-3.83,Terrestrial invert.,17,https://doi.org/10.5285/8385f864-dd41-410f-b248-028f923cb281,,Excluded,,,,,,duplicates of either 120 or 123
160,Bassenthwaite Lake - United Kingdom,Non LTER site,UK,54.653,-3.217,Fish,16,http://doi.org/10.23728/b2share.474aee7365a84cbe9d27d0a260ad3eb0,,Included,50,Winfield I.,Fish at Bassenthwaite Lake - United Kingdom. 2002-2017,Fish at Bassenthwaite Lake - United Kingdom. 2002-2017,peter.haase@senckenberg.de,
161,Derwent Water - United Kingdom,Non LTER site,UK,54.578,-3.147,Fish,16,http://doi.org/10.23728/b2share.b129228cf9e24c47a2fec1476bad7919,,Included,51,Winfield I., Fish at Derwent Water - United Kingdom. 2002-2017,Fish at Derwent Water - United Kingdom for the years 2002-2017,peter.haase@senckenberg.de,
